,anion,anion_smiles,cation,cation_smiles
36,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-(2-(2-methoxyethoxy)ethyl)-3-methylimidazolium,[N+](CCOCCOC)1=C(N(C)C(=C1))
37,tetrafluoroborate,[B-](F)(F)(F)F,1-(2-(2-methoxyethoxy)ethyl)-3-methylimidazolium,[N+](CCOCCOC)1=C(N(C)C(=C1))
39,dicyanamide,C(#N)[N-]C#N,1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium,C1=C[N+](CC(CBr)N=[N+]=[N-])=CN1C
40,dicyanamide,C(#N)[N-]C#N,1-(2-chloroethyl)-3-methylimidazolium,C[n+]1ccn(c1)CCCl
41,chloride,[Cl-],1-(2-cyanoethyl)-3-(2-hydroxyethyl)-1H-imidazolium,C1=C[N+](CCO)=CN1CCC#N
42,chloride,[Cl-],1-(2-cyanoethyl)-3-(phenylmethyl)-1H-imidazolium,c1cn(c([n+]1Cc2ccccc2))CCC#N
43,"1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],1-(2-cyanoethyl)-3-hexyl-1H-imidazol-3-ium,CCCCCC[n+]1cc[n](c1)CCC#N
44,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-(2-ethoxy-2-oxoethyl)-pyridinium,CCOC(=O)C[n+]1ccccc1
47,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium,C[n+]1ccn(c1)CCO
48,tetrafluoroborate,[B-](F)(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium,C[n+]1ccn(c1)CCO
49,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-(2-hydroxyethyl)-pyridinium,c1cc[n+](cc1)CCO
50,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-(2-methoxyethyl)-1-methylpiperidinium,C[N+]1(CCCCC1)CCOC
