,anion,anion_smiles,cation,cation_smiles
87,2-aminoethanesulfonate,C(CS(=O)(=O)[O-])N,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
88,L-cysteinate,C([C@@H](C(=O)[O-])N)S,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
89,L-lysinate,C(CCN)C[C@@H](C(=O)[O-])N,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
90,L-prolinate,C1C[C@H](NC1)C(=O)[O-],tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
91,L-serinate,C([C@@H](C(=O)[O-])N)O,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
92,L-threoninate,C[C@H]([C@@H](C(=O)[O-])N)O,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
93,L-valinate,CC(C)[C@@H](C(=O)[O-])N,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
94,dicyanamide,C(#N)[N-]C#N,tetradecyl(trihexyl)phosphonium,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC
95,diethylphosphate,CCOP(=O)([O-])OCC,tributylethylphosphonium,[P+](CCCC)(CCCC)(CCCC)(CC)
96,bis((trifluoromethyl)sulfonyl)imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,triethylhexylammonium,[P+](CC)(CC)(CC)(CCCCCC)
97,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,triethyloctylammonium,[P+](CC)(CC)(CC)(CCCCCCCC)
98,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,trihexyl(tetradecyl)phosphonium,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC
99,chloride,[Cl-],trihexyl(tetradecyl)phosphonium,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC
100,tris(pentafluoroethyl)trifluorophosphate,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,trihexyl(tetradecyl)phosphonium,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC
101,"bis(2,4,4-trimethylpentyl)phosphinate",CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-],trihexyltetradecylphosphonium,C[n+]1cc[nH]c1
