,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>","Temperature, K",salt_name,"Heat capacity at constant pressure, J/K/mol","Viscosity, Pa&#8226;s"
128,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03429
129,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.032510000000000004
130,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0334
131,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0318
132,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0326
133,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03249
134,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03246
135,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0365
136,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0341
137,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03429
138,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.032510000000000004
139,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0334
140,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0318
141,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0326
142,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03249
143,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03246
144,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0365
145,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0341
146,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03429
147,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.032510000000000004
148,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0334
149,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0318
150,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0326
151,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03249
152,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03246
153,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0365
154,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0341
155,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.03429
156,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.032510000000000004
157,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0334
158,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0318
159,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0326
160,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.03249
161,101.325,1518.91,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.03246
162,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0365
163,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0341
