,anion,anion_smiles,cation,cation_smiles
36,tetrachloroferrate,Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
37,tetrafluoroborate,[B-](F)(F)(F)F,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
38,thiocyanate,C(#N)[S-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
39,tosylate,CC1=CC=C(C=C1)S(=O)(=O)[O-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
40,tricyanomethane,C(#N)[C-](C#N)C#N,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
41,trifluoroacetate,C(=O)(C(F)(F)F)[O-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
42,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
43,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-3-methylpyridinium,CCCC[n+]1cccc(c1)C
44,dicyanamide,C(#N)[N-]C#N,1-butyl-3-methylpyridinium,CCCC[n+]1cccc(c1)C
45,tetracyanoborate,N#C[B-](C#N)(C#N)C#N,1-butyl-3-methylpyridinium,CCCC[n+]1cccc(c1)C
46,tetrafluoroborate,[B-](F)(F)(F)F,1-butyl-3-methylpyridinium,CCCC[n+]1cccc(c1)C
47,tricyanomethanide,C(=C(C#N)C#N)=[N-],1-butyl-3-methylpyridinium,CCCC[n+]1cccc(c1)C
48,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-butyl-3-methylpyridinium,CCCC[n+]1cccc(c1)C
49,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-4-methylpyridinium,CCCC[n+]1ccc(cc1)C
50,tetrafluoroborate,[B-](F)(F)(F)F,1-butyl-4-methylpyridinium,CCCC[n+]1ccc(cc1)C
51,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butylpyridinium,CCCC[n+]1ccccc1
52,tetrafluoroborate,[B-](F)(F)(F)F,1-butylpyridinium,CCCC[n+]1ccccc1
53,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-butylpyridinium,CCCC[n+]1ccccc1
60,bis(trifluoromethylsulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-decyl-3-methylimidazolium,CCCCCCCCCCn1cc[n+](c1)C
61,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-decyl-3-methylimidazolium,CCCCCCCCCCn1cc[n+](c1)C
62,phenolate,C1=CC=C(C=C1)[O-],1-decyl-3-methylimidazolium,CCCCCCCCCCn1cc[n+](c1)C
63,bis(trifluoromethylsulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium,C1=C[N+](C)=CN1CCCCCCCCCC
64,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-dodecyl-3-methylimidazolium,CCCCCCCCCCCCn1cc[n+](c1)C
66,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium",CCn1cc[n+](c1C)C
