Molecular weight of IL  g/mol,Number of rings,Mass of group of rings  g/mol,Number of branches,Mass of first branch g/mol,Mass of second branch g/mol,Mass of third branch  g/mol,Mass of fourth branch  g/mol,Mass of cation  g/mol,Mass of anion  g/mol,Pressure   kPa,Temprature k,Density g/cm^3
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,39803.000,393.17,1.145400
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,49942.000,393.17,1.150460
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,70000.000,393.17,1.159640
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,80173.000,393.17,1.163890
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,90001.000,393.15,1.167720
208.996140,1,79.102300,1,0.000000,43.089240,0.000000,0.000000,122.191540,86.804600,100.000,283.15,1.264200
208.996140,1,79.102300,1,0.000000,43.089240,0.000000,0.000000,122.191540,86.804600,5000.000,283.15,1.266100
208.996140,1,79.102300,1,0.000000,43.089240,0.000000,0.000000,122.191540,86.804600,10000.000,283.15,1.268200
208.996140,1,79.102300,1,0.000000,43.089240,0.000000,0.000000,122.191540,86.804600,15000.000,283.15,1.270200
208.996140,1,79.102300,1,0.000000,43.089240,0.000000,0.000000,122.191540,86.804600,20000.000,283.15,1.272200
208.996140,1,79.102300,1,0.000000,43.089240,0.000000,0.000000,122.191540,86.804600,25000.000,283.15,1.274100
208.996140,1,79.102300,1,0.000000,43.089240,0.000000,0.000000,122.191540,86.804600,35000.000,283.15,1.277900
208.996140,1,79.102300,1,0.000000,43.089240,0.000000,0.000000,122.191540,86.804600,40000.000,283.15,1.279700
208.996140,1,79.102300,1,0.000000,43.089240,0.000000,0.000000,122.191540,86.804600,45000.000,283.15,1.281500
208.996140,1,79.102300,1,0.000000,43.089240,0.000000,0.000000,122.191540,86.804600,50000.000,283.15,1.283200
208.996140,1,79.102300,1,0.000000,43.089240,0.000000,0.000000,122.191540,86.804600,55000.000,283.15,1.284800
